Type,c_code,Category, cid(data id), Name, Data Name (clickでcopy),Category [和名],Name [和名]
activity,100,Seedling,101,Seeding,seeding,育苗,育苗播種
activity,100,Seedling,102,Planting (Parent stock),planting_(parent_stock),育苗,定植(親株)
activity,100,Seedling,110,Puddling culti-plate,puddling_culti-plate,育苗,培地浸水
activity,100,Seedling,170,Transplant,transplant,育苗,移植
activity,100,Seedling,171,Nursery replanting,nursery_replanting,育苗,苗床植替え
activity,200,Brooding,201,Brooding,brooding,育雛,育雛
activity,1000,Preparation,1000,Preparation,preparation,準備,準備
activity,1000,Preparation,1001,Clean up,clean_up,準備,準備清掃
activity,1000,Preparation,1002,Remove Mulch,remove_mulch,準備,マルチ剥ぎ
activity,1000,Preparation,1050,Remove feces,remove_feces,準備,除フン
activity,1100,Land_preparation,1101,Plow,plow,耕起・整地,耕起
activity,1100,Land_preparation,1102,Ridging,ridging,耕起・整地,畝立
activity,1100,Land_preparation,1103,Mulching,mulching,耕起・整地,マルチ張り
activity,1700,Feed_preparation,1771,,,飼料準備,アルテミア培養
activity,1800,Feed_preparation,1871,,,資材準備,バイオミックス作成
activity,1800,Feed_preparation,1872,,,資材準備,バイオアグリゲーション作成
activity,1800,Feed_preparation,1873,,,資材準備,ジオライト投入
activity,2100,Planting,2101,Seeding,seeding,播種・定植,播種
activity,2100,Planting,2102,Planting,planting,播種・定植,定植
activity,2100,Planting,2103,Planting,planting,播種・定植,田植
activity,2200,Introduction,2200,Introduction,introduction,導入,導入
activity,2200,Introduction,2201,Chick Introduction,chick_introduction,導入,ひな導入
activity,2200,Introduction,2251,Fry Introduction,fry_introduction,導入,池入れ
activity,3100,Fertilization,3100,Fertilization,fertilization,施肥,施肥
activity,3100,Fertilization,3101,Fertilization,fertilization,施肥,施肥
activity,3100,Fertilization,3102,Add Fertilizer,add_fertilizer,施肥,追肥
activity,3100,Fertilization,3103,Add Soil Conditioner,add_soil_conditioner,施肥,土壌改良剤散布
activity,3200,Feeding,3200,Feed,feed,給餌,給餌
activity,3200,Feeding,3210,Add Feed,add_feed,給餌,飼料追加
activity,3200,Feeding,3220,Feed Check,feed_check,給餌,餌量チェック
activity,3200,Feeding,3230,Water Meter,water_meter,給餌,飲水量チェック
activity,4000,Control,4000,Control,control,管理,管理
activity,4000,Control,4001,Feild Check,feild_check,管理,見回り
activity,4000,Control,4002,Observe,observe,管理,観察記録
activity,4000,Control,4003,Inspection,inspection,管理,点検
activity,4000,Control,4004,Photo,photo,管理,写真撮影
activity,4100,Org Check,4100,Org Check,org_check,生体チェック,生体観察
activity,4100,Org Check,4101,Weight,weight,生体チェック,体重計測
activity,4200,Env Check,4200,Env Check,env_check,環境チェック,環境チェック
activity,4200,Env Check,4201,Env. Data,env._data,環境チェック,環境計測
activity,4300,Facility Check,4300,Facility Check,facility_check,設備チェック,設備チェック
activity,4400,Utility Cost Check,4410,electric bill,electric_bill,光熱費チェック,電気代
activity,4600,Pruning,4602,Pruning,pruning,剪定,剪定
activity,4900,Loss Check,4900,Loss Check,loss_check,ロスチェック,ロスチェック
activity,4900,Loss Check,4901,Dead Check,dead_check,ロスチェック,死鳥チェック
activity,4900,Loss Check,4902,Dead Check,dead_check,ロスチェック,死魚チェック
activity,4900,Loss Check,4990,Num Correction,num_correction,ロスチェック,数値補正
activity,5000,Prevention,5000,Privent,privent,防除,防除
activity,5000,Prevention,5001,Weeding,weeding,防除,除草
activity,5000,Prevention,5002,Apply Herbicide,apply_herbicide,防除,除草剤散布
activity,5000,Prevention,5003,Apply Herbicide,apply_herbicide,防除,薬剤散布
activity,5000,Prevention,5004,Apply Chemical,apply_chemical,防除,農薬散布
activity,5000,Prevention,5005,Soil Disinfection,soil_disinfection,防除,土壌消毒
activity,5100,Snitize,5100,Snitize,snitize,消毒,消毒
activity,5100,Snitize,5101,Snitize Equipment,snitize_equipment,消毒,備品消毒
activity,5200,Irrigation,5200,Irrigation,irrigation,潅水,潅水
activity,5200,Irrigation,5201,Watering,watering,潅水,水やり
activity,5300,Medication,5301,Medication,medication,投薬,薬品投与
activity,5300,Medication,5302,Vaccines,vaccines,投薬,ワクチン
activity,5300,Medication,5303,Addition to Water,addition_to_water,投薬,飲水添加
activity,5500,Env Control,5501,Drain Water,drain_water,環境調整,排水
activity,5500,Env Control,5502,Add Water,add_water,環境調整,給水
activity,5500,Env Control,5520,Water Activation,water_activation,環境調整,水質活性
activity,5600,Env Control,5640,Mulching,mulching,環境調整,マルチング
activity,5600,Env Control,5645,Uncover Mulchi,uncover_mulchi,環境調整,マルチ外し
activity,5600,Env Control,5560,Bee introduction,bee_introduction,環境調整,ミツバチ搬入
activity,5600,Setting,5600,Facility Setting,facility_setting,設定,設備設定
activity,5600,Setting,5601,Guard Resize,guard_resize,設定,ガード変更
activity,5700,Control,5701,Fruit Thinning,fruit_thinning,管理,摘果
activity,5700,Control,5702,Pruning,pruning,管理,剪定
activity,5700,Control,5703,Defoliation,defoliation,管理,摘葉
activity,5700,Control,5704,Bind branches,bind_branches,管理,誘引
activity,5700,Control,5705,Expose fruit,expose_fruit,管理,玉だし
activity,5700,Control,5706,Pinch,pinch,管理,摘心
activity,5700,Control,5707,Flower picking,flower_picking,管理,摘花
activity,5700,Control,5708,Pull down,pull_down,管理,おろし
activity,5700,Control,5709,Runner trimming,runner_trimming,管理,ランナー摘み
activity,5700,Control,5710,Side bud trimming,side_bud_trimming,管理,わき芽かき
activity,5700,Control,5711,Buds picking,buds_picking,管理,摘らい
,,,,,,,
activity,6000,Harvest,6000,Harvest,harvest,収穫,収穫
activity,6000,Harvest,6001,Rice Harvest,rice_harvest,収穫,稲刈
activity,6000,Harvest,6300,Catch Bird,catch_bird,収穫,捕鳥
activity,6000,Harvest,6500,Landing,landing,収穫,水揚げ
activity,7000,Prepare for sell,7001,Prepare for sell,prepare_for_sell,調製,調整作業
activity,7000,Prepare for sell,7002,Triming,triming,調製,トリミング
activity,7600,Packaging,7600,Packaging,packaging,包装,包装
activity,7900,Shipping,7900,Shipping,shipping,出荷,出荷
activity,8000,Sales,8001,Sales Activity,sales_activity,販売,販売活動
activity,8000,Sales,8002,Delivery,delivery,販売,配送
activity,9000,Indirect Labor,9000,Machine Maintain,machine_maintain,間接労働,間接労働
activity,9000,Indirect labor,9001,Cleanup,cleanup,間接労働,清掃
activity,9100,Move,9101,Move,move,移動・運搬,移動
activity,9100,Move,9102,Transport,transport,移動・運搬,運搬
activity,9200,Planning,9200,Planning,planning,計画作成,計画作成
activity,9300,Meeting,9300,Meeting,meeting,会議,会議
activity,9300,Meeting,9301,Daily Meeting,daily_meeting,会議,朝昼夕会
activity,9400,Education,9400,Education,education,研修,研修
activity,9500,Fertilizer Manufacturing,9501,Fertilizer Manufacturing,fertilizer_manufacturing,肥料製造,肥料製造
activity,9600,Maintain,9600,Maintain,maintain,整備,整備
activity,9600,Maintain,9601,Maintain,maintain,整備,整備
activity,9600,Maintain,9610,Disinfection,disinfection,整備,消毒
activity,9600,Maintain,9611,Disinfection,disinfection,整備,消毒
activity,9600,Maintain,9620,Cleaning,cleaning,整備,清掃
activity,9600,Maintain,9621,Cleaning,cleaning,整備,設備清掃
activity,9600,Maintain,9630,Cleaning,cleaning,整備,逆洗浄